,id,sentence1,sentence2,label
0,29568,"The estuary of the Batten Kill is in East Dorset , Vermont , and the source of the river is in Easton , New York .","The mouth of the Batten Kill is in East Dorset , Vermont , and the source of the river is in Easton , New York .",1
1,45829,"La tempestad ( International translation : The Tempest , dubbed The Storm by Univision ) is a 2013 Mexican telenovela produced by Salvador Mejía Alejandre for Televisa .","La Tempestad ( International Translation : The Storm , called by Univision the Storm ) is a 2013 Mexican telenovela produced by Salvador Mejía Alejandre for Televisa .",1
2,46990,"Since 2006 , when Josephine Alhanko placed himself in the Top 20 , Cerljen was the first delegate from Sweden to the international final .",Cerljen was also the first delegate from Sweden at the international final since 2006 when Josephine Alhanko placed in the Top 20 .,1
3,13893,"He married Lady Florence Jane Taylour , daughter of Amelia Thompson , 3rd Marquess of Headfort and Thomas Taylour , on 5 August 1875 .","He married Lady Florence Jane Taylour , the daughter of Amelia Thompson , 3rd Marquess of Headfort and Thomas Taylour , on 5 August 1875 .",1
4,41986,Elati is a village in the Kozani Regional Unit in Greece .,"Elati is a village in the Kozani regional unit , Greece .",1
5,1690,He had four siblings : twins Hope Gimbel and Caral Gimbel and the twins Peter Gimbel and David Gimbel .,He had four siblings : twins Peter Gimbel and David Gimbel ; and twins Hope Gimbel and Caral Gimbel .,1
6,3098,"In addition , they are physically active , free to learn and eager to explore .","In addition , they are actively physically active , free to learn and eager to explore .",1
7,26108,"Solomons was born in Orsett , Essex and brought up with his four siblings in Thorpe Bay by his mother and father .","Solomons was born in Orsett , Essex and with his four siblings in Thorpe Bay brought up by his mother and his father .",1
8,26641,"Regardless of quick sorrow , he was known for his spiritual understanding and discipline .","He was known for his spiritual understanding and discipline , regardless of quick suffering .",1
9,23768,"Other invitations followed and more sisters arrived for a hospital in Iloilo , schools in Vigan , Tuguegarao and Manila and a leprosary in Culion .","Other invitations followed and more Sisters arrived for a hospital in Iloilo , schools in Vigan , Tuguegarao , and Manila , and a Leprosarium in Culion .",1
